time_s,roll_deg,pitch_deg,yaw_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.0024318695068359375,0.811,1.319,-166.13,-0.427,0.244,1.892
0.0073130130767822266,0.81,1.319,-166.129,-0.488,0.244,1.892
0.012282133102416992,0.809,1.319,-166.129,-0.488,0.244,1.831
0.017316102981567383,0.808,1.319,-166.129,-0.488,0.244,1.831
0.02231907844543457,0.808,1.319,-166.128,-0.366,0.244,1.831
0.027354955673217773,0.808,1.319,-166.128,-0.305,0.183,1.892
0.032366037368774414,0.808,1.319,-166.127,-0.305,0.183,1.892
0.03736114501953125,0.809,1.319,-166.127,-0.244,0.244,1.892
0.042326927185058594,0.809,1.319,-166.126,-0.305,0.305,1.892
0.04730701446533203,0.808,1.318,-166.126,-0.427,0.244,1.831
0.052323102951049805,0.807,1.318,-166.125,-0.488,0.244,1.831
0.05736589431762695,0.806,1.317,-166.125,-0.488,0.244,1.831
0.062391042709350586,0.806,1.317,-166.125,-0.366,0.244,1.892
0.06731796264648438,0.806,1.317,-166.124,-0.305,0.244,1.892
0.0723419189453125,0.806,1.316,-166.123,-0.305,0.305,1.953
0.07728981971740723,0.806,1.316,-166.123,-0.305,0.244,1.892
0.08234596252441406,0.806,1.317,-166.122,-0.366,0.244,1.892
0.08729910850524902,0.805,1.317,-166.122,-0.427,0.244,1.831
0.09235095977783203,0.805,1.317,-166.122,-0.427,0.244,1.831
0.09735393524169922,0.804,1.317,-166.122,-0.427,0.244,1.892
0.10230016708374023,0.804,1.318,-166.121,-0.427,0.183,1.892
0.10732316970825195,0.804,1.318,-166.121,-0.427,0.183,1.892
0.11237120628356934,0.804,1.318,-166.12,-0.305,0.183,1.892
0.11735105514526367,0.804,1.318,-166.12,-0.305,0.244,1.892
0.12231707572937012,0.804,1.317,-166.12,-0.366,0.244,1.892
0.12734103202819824,0.804,1.318,-166.119,-0.366,0.244,1.831
0.1323230266571045,0.803,1.318,-166.119,-0.427,0.244,1.831
0.1373448371887207,0.803,1.317,-166.119,-0.427,0.305,1.831
0.14227604866027832,0.803,1.317,-166.119,-0.366,0.244,1.831
0.14739298820495605,0.802,1.317,-166.119,-0.366,0.305,1.831
0.1522829532623291,0.802,1.317,-166.119,-0.366,0.183,1.831
0.15731406211853027,0.802,1.317,-166.119,-0.366,0.183,1.831
0.16230392456054688,0.802,1.317,-166.119,-0.366,0.183,1.831
0.16730403900146484,0.802,1.317,-166.118,-0.427,0.183,1.892
0.1723020076751709,0.801,1.317,-166.118,-0.427,0.244,1.892
0.17730188369750977,0.801,1.316,-166.118,-0.427,0.244,1.831
0.18230390548706055,0.8,1.316,-166.118,-0.366,0.244,1.831
0.18730401992797852,0.8,1.316,-166.117,-0.305,0.244,1.831
0.19231104850769043,0.8,1.315,-166.116,-0.305,0.244,1.831
0.19736599922180176,0.799,1.314,-166.116,-0.305,0.244,1.831
0.20231103897094727,0.799,1.315,-166.116,-0.305,0.244,1.831
0.20731401443481445,0.799,1.315,-166.115,-0.366,0.244,1.831
0.21228790283203125,0.798,1.315,-166.114,-0.427,0.244,1.892
0.21732401847839355,0.798,1.314,-166.114,-0.366,0.244,1.892
0.22230219841003418,0.798,1.314,-166.113,-0.366,0.244,1.892
0.22737908363342285,0.797,1.314,-166.112,-0.366,0.244,1.892
0.23231983184814453,0.797,1.313,-166.112,-0.366,0.244,1.831
0.23728394508361816,0.796,1.313,-166.111,-0.366,0.244,1.831
0.24227190017700195,0.796,1.313,-166.111,-0.427,0.244,1.831
0.2472679615020752,0.795,1.313,-166.111,-0.427,0.244,1.831
0.25227999687194824,0.795,1.313,-166.11,-0.427,0.244,1.831
0.25730299949645996,0.794,1.313,-166.109,-0.427,0.244,1.953
0.26228904724121094,0.794,1.312,-166.108,-0.366,0.244,1.953
0.267287015914917,0.794,1.312,-166.107,-0.305,0.183,1.953
